32496 80816 28 31 Chunk
32512 80704 28 31 Chunk
32496 80784 28 31 Chunk
32480 80752 28 31 Chunk
33008 240832 28 31 Randomised
33008 240832 28 31 Randomised
33008 240864 28 31 Randomised
33008 240848 28 31 Randomised
32496 89824 28 31 Stride
32496 89872 28 31 Stride
32512 89840 28 31 Stride
32496 89840 28 31 Stride
32496 89808 28 31 OffsetStride
32512 89824 28 31 OffsetStride
32496 89824 28 31 OffsetStride
32496 89824 28 31 OffsetStride
32480 509536 28 31 Balanced
32496 509472 28 31 Balanced
32480 509568 28 31 Balanced
32496 509520 28 31 Balanced
33024 81328 28 31 Chunk
32992 81296 28 31 Chunk
32992 81344 28 31 Chunk
33008 81296 28 31 Chunk
32672 237776 28 31 Randomised
32672 237776 28 31 Randomised
32656 237776 28 31 Randomised
32672 237856 28 31 Randomised
33008 90448 28 31 Stride
32992 90448 28 31 Stride
33008 90464 28 31 Stride
32992 90400 28 31 Stride
32992 90448 28 31 OffsetStride
33008 90512 28 31 OffsetStride
33008 90528 28 31 OffsetStride
33008 90464 28 31 OffsetStride
32672 508752 28 31 Balanced
32672 508832 28 31 Balanced
32672 508736 28 31 Balanced
32672 508864 28 31 Balanced
32448 78416 28 31 Chunk
32432 78400 28 31 Chunk
32448 78400 28 31 Chunk
32432 78400 28 31 Chunk
32000 215584 28 31 Randomised
31984 215568 28 31 Randomised
31984 215536 28 31 Randomised
31984 215552 28 31 Randomised
32448 87792 28 31 Stride
32448 87808 28 31 Stride
32448 87840 28 31 Stride
32448 87824 28 31 Stride
32432 87824 28 31 OffsetStride
32448 87760 28 31 OffsetStride
32448 87824 28 31 OffsetStride
32432 87792 28 31 OffsetStride
31984 500672 28 31 Balanced
31984 500704 28 31 Balanced
32000 500624 28 31 Balanced
31984 500720 28 31 Balanced
31968 85440 4 31 Randomised
31968 85344 4 31 Randomised
31984 94672 5 31 Randomised
31984 94576 5 31 Randomised
31968 105648 6 31 Randomised
31984 105616 6 31 Randomised
31984 115856 7 31 Randomised
31968 115888 7 31 Randomised
31984 124912 8 31 Randomised
31984 124832 8 31 Randomised
31984 134208 9 31 Randomised
32000 134288 9 31 Randomised
31968 134464 10 31 Randomised
31968 134400 10 31 Randomised
31968 145024 11 31 Randomised
31984 145056 11 31 Randomised
31984 145232 12 31 Randomised
31984 145296 12 31 Randomised
31984 155808 13 31 Randomised
31968 155840 13 31 Randomised
31984 156048 14 31 Randomised
31968 155952 14 31 Randomised
31968 164960 15 31 Randomised
31984 165040 15 31 Randomised
32000 165232 16 31 Randomised
31984 165296 16 31 Randomised
32000 174608 17 31 Randomised
