work_dims,mean_t,std_t,med_t,99_t,75_t,25_t
1,10921.3120,354.7492,11008.0000,11536.0000,11136.0000,10768.0000
2,16468.7984,342.7021,16528.0000,17088.0000,16688.0000,16304.0000
3,18893.2224,305.1912,18976.0000,19440.0000,19072.0000,18768.0000
4,18974.1504,306.3498,19040.0000,19552.0000,19152.0000,18848.0000
5,21779.3456,303.4920,21872.0000,22336.0000,21968.0000,21664.0000
6,26051.8352,303.8925,26112.0000,26592.0000,26256.0000,25904.0000
7,30261.2480,310.1223,30336.0000,30832.0000,30432.0000,30144.0000
8,30231.4720,309.3347,30304.0000,30784.0000,30416.0000,30096.0000
9,32402.8560,303.4946,32464.0000,32944.0000,32592.0000,32256.0000
10,34409.8368,306.2453,34496.0000,34976.0000,34592.0000,34272.0000
11,39196.2832,308.9706,39264.0000,39776.0000,39408.0000,39040.0000
12,40850.3920,306.5424,40912.0000,41408.0000,41056.0000,40704.0000
13,45170.8848,324.5773,45232.0000,45760.1600,45376.0000,44992.0000
14,46904.0992,319.6813,46976.0000,47424.0000,47120.0000,46736.0000
15,46919.7280,326.3160,46992.0000,47456.0000,47152.0000,46752.0000
16,49048.6928,314.4202,49120.0000,49584.0000,49280.0000,48880.0000
17,51189.7136,328.3364,51264.0000,51760.0000,51424.0000,51008.0000
18,52778.0688,316.8091,52832.0000,53376.0000,52976.0000,52640.0000
19,57947.4144,317.4328,58016.0000,58544.0000,58160.0000,57808.0000
20,59662.4368,309.6002,59744.0000,60240.0000,59840.0000,59520.0000
21,63511.4832,327.3076,63568.0000,64112.0000,63728.0000,63344.0000
22,65501.7744,352.0600,65584.0000,66096.0000,65744.0000,65280.0000
23,65359.6192,345.3670,65424.0000,65952.0000,65616.0000,65168.0000
24,67386.1408,347.2589,67472.0000,68000.0000,67648.0000,67184.0000
25,68537.9552,337.3734,68608.0000,69120.0000,68768.0000,68336.0000
26,70392.6800,341.3329,70464.0000,70992.0000,70624.0000,70176.0000
27,72227.3648,346.0525,72288.0000,72848.0000,72464.0000,72032.0000
28,74347.8912,332.8529,74400.0000,74928.0000,74592.0000,74160.0000
