work_dims,mean_t,std_t,med_t,99_t,75_t,25_t
1,43980.4992,865.8331,44256.0000,44896.1600,44448.0000,43680.0000
2,56359.5648,1120.3155,56304.0000,58448.0000,56672.0000,55756.0000
3,57943.4464,892.7171,58128.0000,59376.0000,58368.0000,57632.0000
4,58417.3216,955.8357,58560.0000,59552.0000,59040.0000,58224.0000
5,62103.3152,1124.2102,62384.0000,63472.0000,62944.0000,61376.0000
6,71576.0672,1198.2399,71936.0000,73168.0000,72512.0000,70704.0000
7,73318.4288,967.1187,73440.0000,74832.0000,73872.0000,72960.0000
8,73649.4240,963.3355,73840.0000,74864.1600,74272.0000,73408.0000
9,78260.3104,1173.4363,78624.0000,79824.0000,79104.0000,77472.0000
10,80578.2592,1683.3121,80592.0000,84384.3200,81648.0000,79520.0000
11,88655.3952,1642.7528,88672.0000,92528.1600,89680.0000,87616.0000
12,91003.6480,1919.1580,90960.0000,95712.1600,92224.0000,89744.0000
13,94615.4272,2115.6279,94528.0000,99600.3200,96032.0000,93136.0000
14,97130.7488,2216.0327,97088.0000,102464.1600,98560.0000,95680.0000
15,97871.1584,1891.7968,97808.0000,102448.1600,99072.0000,96688.0000
16,100061.7344,1944.7808,100032.0000,104560.1600,101392.0000,98736.0000
17,104902.6976,2511.6777,104640.0000,111296.3200,106608.0000,103072.0000
18,107091.7280,2572.5838,106896.0000,113248.4800,108848.0000,105152.0000
19,114898.0832,2250.2001,114896.0000,120160.0000,116384.0000,113472.0000
20,117172.7072,2211.2406,117168.0000,122320.3200,118640.0000,115712.0000
21,121750.8000,2645.8817,121696.0000,128064.1600,123568.0000,119856.0000
22,123931.6064,2661.8747,123856.0000,130128.0000,125776.0000,122048.0000
23,124581.1968,2163.6613,124544.0000,129632.3200,126080.0000,123104.0000
24,126598.8448,2114.2188,126624.0000,131424.1600,128080.0000,125152.0000
25,132063.6448,2727.4841,131856.0000,138688.1600,133856.0000,130080.0000
26,134380.5568,2833.8041,134176.0000,141152.1600,136304.0000,132240.0000
27,137440.7648,3302.4153,137096.0000,146208.0000,139520.0000,135008.0000
28,141181.8656,3939.6090,140680.0000,151936.4800,143520.0000,138364.0000
