work_dims,mean_t,std_t,med_t,99_t,75_t,25_t
1,20543.9712,791.8607,20736.0000,21184.0000,20864.0000,20512.0000
2,26587.9392,860.8063,26640.0000,27792.0000,26880.0000,26432.0000
3,26964.3904,899.2270,27312.0000,27856.0000,27568.0000,26608.0000
4,27018.4864,904.1028,27360.0000,27872.0000,27536.0000,26656.0000
5,28819.6320,878.8089,29120.0000,29648.0000,29296.0000,28512.0000
6,34124.5952,872.7357,34448.0000,35104.0000,34672.0000,33712.0000
7,34175.5776,892.0006,34496.0000,35152.0000,34720.0000,33792.0000
8,34184.1984,906.4718,34512.0000,35072.0000,34688.0000,33852.0000
9,36830.8544,876.9993,37136.0000,37744.0000,37328.0000,36480.0000
10,37654.6400,1022.4760,37808.0000,39392.1600,38272.0000,37264.0000
11,41936.2400,1044.4732,42112.0000,43776.0000,42560.0000,41536.0000
12,42899.3024,1164.1578,43024.0000,45216.0000,43616.0000,42368.0000
13,44359.3472,1238.2768,44400.0000,47056.0000,45120.0000,43712.0000
14,45573.2864,1291.0574,45616.0000,48416.3200,46368.0000,44896.0000
15,45927.7120,1179.4496,45984.0000,48272.1600,46640.0000,45392.0000
16,46951.0624,1198.1355,47024.0000,49360.1600,47712.0000,46352.0000
17,50123.9648,1514.6627,50128.0000,53536.1600,51152.0000,49120.0000
18,51202.9120,1552.1105,51232.0000,54576.1600,52288.0000,50160.0000
19,55289.9360,1356.0104,55392.0000,58096.1600,56160.0000,54592.0000
20,56405.0752,1339.5697,56480.0000,59200.1600,57296.0000,55712.0000
21,58773.2864,1508.8015,58800.0000,62112.0000,59780.0000,57856.0000
22,59861.1296,1515.1175,59856.0000,63104.0000,60912.0000,58912.0000
23,60185.9776,1298.1770,60256.0000,62832.1600,61056.0000,59456.0000
24,61193.1968,1268.9401,61296.0000,63712.0000,62048.0000,60512.0000
25,64794.8832,1666.6870,64848.0000,68464.0000,65936.0000,63696.0000
26,66032.8128,1730.5687,66040.0000,69888.1600,67232.0000,64892.0000
27,67536.8352,1979.1155,67456.0000,72384.0000,68800.0000,66160.0000
28,69328.4064,2305.5274,69120.0000,75392.0000,70704.0000,67744.0000
