work_dims,mean_t,std_t,med_t,99_t,75_t,25_t
1,5924.8128,260.2223,5984.0000,6352.0000,6048.0000,5840.0000
2,8615.8784,242.7762,8656.0000,8928.0000,8672.0000,8608.0000
3,9600.8320,223.0272,9664.0000,9728.0000,9680.0000,9648.0000
4,9614.2800,221.7955,9696.0000,9744.0000,9712.0000,9632.0000
5,11495.8512,226.8449,11568.0000,11648.0000,11600.0000,11536.0000
6,14212.4672,226.7397,14288.0000,14352.0000,14304.0000,14256.0000
7,16538.1568,223.8807,16592.0000,16688.0000,16640.0000,16576.0000
8,16516.8080,226.0161,16592.0000,16656.0000,16608.0000,16560.0000
9,18133.3552,226.9257,18192.0000,18304.0000,18224.0000,18160.0000
10,19074.6752,226.0553,19136.0000,19280.0000,19168.0000,19104.0000
11,21985.7952,227.1158,22048.0000,22144.0000,22096.0000,22016.0000
12,22826.0464,224.2217,22896.0000,22976.0000,22912.0000,22864.0000
13,25082.3088,227.2472,25136.0000,25296.0000,25184.0000,25104.0000
14,25944.2432,226.8548,26000.0000,26160.0000,26048.0000,25968.0000
15,26027.0528,228.0187,26080.0000,26240.0000,26128.0000,26048.0000
16,27120.1888,225.1009,27184.0000,27296.0000,27216.0000,27152.0000
17,28704.6656,229.5850,28768.0000,28928.0000,28800.0000,28720.0000
18,29562.6464,227.5758,29616.0000,29760.0000,29664.0000,29584.0000
19,32347.8016,227.3618,32416.0000,32528.0000,32448.0000,32384.0000
20,33289.7536,225.2227,33360.0000,33456.0000,33392.0000,33312.0000
21,35592.1216,233.1507,35664.0000,35808.0000,35696.0000,35600.0000
22,36654.6144,228.3108,36720.0000,36848.0000,36752.0000,36672.0000
23,36550.7616,241.8069,36624.0000,36784.0000,36688.0000,36544.0000
24,37586.2352,235.3181,37648.0000,37872.0000,37696.0000,37600.0000
25,38350.9552,229.0193,38416.0000,38592.0000,38448.0000,38368.0000
26,39291.6096,239.1468,39344.0000,39568.0000,39408.0000,39280.0000
27,40112.2256,240.5152,40160.0000,40400.0000,40240.0000,40096.0000
28,41144.7584,240.7055,41216.0000,41424.0000,41280.0000,41120.0000
