cores,mean_t,std_t,med_t,99_t,75_t,25_t
1,662296.9008,263.9773,662320.0000,662832.0000,662448.0000,662144.0000
2,474365.0304,396.7107,474352.0000,475280.0000,474624.0000,474096.0000
3,378188.5968,647.9622,378288.0000,379328.0000,378640.0000,377856.0000
4,330280.5088,734.1798,330368.0000,331712.1600,330800.0000,329808.0000
5,307468.0768,327.3965,307488.0000,308176.0000,307696.0000,307264.0000
6,297512.0896,260.8613,297520.0000,298128.0000,297680.0000,297344.0000
7,293311.5984,234.5276,293328.0000,293856.0000,293456.0000,293184.0000
8,268310.4928,223.0350,268352.0000,268848.0000,268432.0000,268176.0000
9,250750.3744,221.3765,250752.0000,251264.0000,250912.0000,250624.0000
10,234184.6000,233.4563,234208.0000,234752.0000,234336.0000,234048.0000
11,223316.3104,232.4163,223344.0000,223856.0000,223440.0000,223168.0000
12,212011.4720,230.5488,212032.0000,212560.0000,212144.0000,211872.0000
13,199084.7216,239.1742,199104.0000,199648.0000,199248.0000,198960.0000
14,153033.1728,226.6932,153056.0000,153536.0000,153184.0000,152912.0000
15,145365.7376,227.9190,145392.0000,145888.0000,145520.0000,145248.0000
16,146661.2448,224.7761,146688.0000,147216.0000,146800.0000,146544.0000
17,140373.8432,216.1538,140416.0000,140912.0000,140496.0000,140256.0000
18,134728.3472,227.3118,134768.0000,135264.0000,134832.0000,134608.0000
19,134690.8544,206.4607,134736.0000,135184.0000,134816.0000,134576.0000
20,127687.1600,262.2309,127712.0000,128208.0000,127872.0000,127536.0000
21,122839.2368,249.1519,122864.0000,123360.0000,123040.0000,122672.0000
22,109410.3808,268.2512,109424.0000,109952.0000,109600.0000,109216.0000
23,107118.0496,251.4628,107152.0000,107616.0000,107312.0000,106944.0000
24,101405.6176,252.3521,101456.0000,101920.0000,101568.0000,101280.0000
25,96642.9328,256.7582,96688.0000,97168.0000,96800.0000,96512.0000
26,96645.9712,257.9289,96704.0000,97184.0000,96816.0000,96512.0000
27,96574.8256,270.1587,96608.0000,97120.0000,96752.0000,96432.0000
28,96585.4960,266.0295,96624.0000,97136.0000,96752.0000,96448.0000
29,93760.6176,264.6441,93808.0000,94320.0000,93936.0000,93616.0000
30,81927.0848,248.8081,81936.0000,82512.0000,82096.0000,81792.0000
31,77533.2928,256.0345,77552.0000,78064.0000,77728.0000,77376.0000
