cores,mean_t,std_t,med_t,99_t,75_t,25_t
1,1058206.9184,982.5179,1058368.0000,1060080.0000,1058800.0000,1057664.0000
2,672880.5216,5485.6133,671808.0000,688688.4800,676148.0000,668528.0000
3,550665.9264,4742.8320,549968.0000,564736.3200,553408.0000,547200.0000
4,494949.4016,4548.1256,494304.0000,508512.1600,497488.0000,491664.0000
5,464422.4032,3803.5076,463920.0000,474992.1600,466592.0000,461632.0000
6,449024.7200,3515.5773,448528.0000,459296.6400,451076.0000,446496.0000
7,441356.7104,3179.9888,440912.0000,450480.8000,443120.0000,439088.0000
8,390333.6576,4596.9137,390176.0000,401968.8000,393296.0000,387248.0000
9,352450.4480,5251.9618,352352.0000,365168.1600,355904.0000,348912.0000
10,319604.0480,5411.5597,319496.0000,332496.3200,323184.0000,316000.0000
11,297409.3280,5537.8425,297360.0000,310704.1600,301120.0000,293760.0000
12,275157.2480,5622.2099,275184.0000,288656.0000,278852.0000,271312.0000
13,252849.8304,5610.5422,252896.0000,265968.6400,256688.0000,249056.0000
14,241946.0992,5063.8057,241504.0000,255360.1600,245216.0000,238000.0000
15,238533.2640,4070.6331,237856.0000,250224.3200,240932.0000,235504.0000
16,229217.4112,5073.1468,228912.0000,241520.4800,232672.0000,225456.0000
17,216475.1264,4306.6552,216008.0000,228336.1600,219060.0000,213360.0000
18,205473.7056,4418.3104,205008.0000,217232.3200,208288.0000,202288.0000
19,204232.3104,5283.1812,204048.0000,216977.2800,207808.0000,200384.0000
20,190354.0736,4109.1638,190016.0000,201328.1600,192864.0000,187500.0000
21,181020.2176,4220.2918,180640.0000,192048.1600,183648.0000,178032.0000
22,179288.1664,5058.3583,179008.0000,191808.4800,182528.0000,175708.0000
23,176613.3632,4898.7953,176272.0000,188864.0000,179792.0000,173072.0000
24,166699.3280,3890.6697,166344.0000,177456.3200,169040.0000,163920.0000
25,159683.3504,3409.1503,159280.0000,169680.0000,161632.0000,157344.0000
26,157584.0736,3823.0889,157360.0000,167760.4800,159936.0000,154912.0000
27,155592.7136,4095.3194,155312.0000,166656.1600,158112.0000,152640.0000
28,154561.4208,4696.6390,154280.0000,166192.1600,157760.0000,151168.0000
29,149471.8656,4333.4397,149184.0000,160784.3200,152208.0000,146428.0000
30,143073.6576,4014.0109,142736.0000,153664.1600,145616.0000,140240.0000
31,137729.5040,3632.4964,137264.0000,147696.1600,139952.0000,135104.0000
