cores,mean_t,std_t,med_t,99_t,75_t,25_t
1,612208.5824,821.3444,612304.0000,613536.0000,612560.0000,612080.0000
2,377859.9008,2990.2300,377376.0000,386272.1600,379632.0000,375648.0000
3,303897.0112,2558.1251,303520.0000,311120.3200,305376.0000,302144.0000
4,270453.2896,2526.2311,270144.0000,277696.0000,271920.0000,268688.0000
5,251960.0832,2074.4157,251760.0000,257504.0000,253216.0000,250560.0000
6,242882.8032,1958.3943,242720.0000,248336.1600,244064.0000,241584.0000
7,238479.0176,1774.6350,238352.0000,243264.1600,239504.0000,237328.0000
8,210430.9152,2504.4617,210368.0000,216496.3200,212048.0000,208768.0000
9,189664.3936,2769.4517,189680.0000,196288.1600,191488.0000,187776.0000
10,171480.4256,2820.8642,171464.0000,178224.0000,173344.0000,169600.0000
11,159294.7264,2884.6510,159312.0000,166176.4800,161200.0000,157376.0000
12,147098.3136,2922.3759,147152.0000,153952.1600,149024.0000,145184.0000
13,134853.2352,2933.3778,134896.0000,141568.0000,136816.0000,132908.0000
14,129018.2048,2739.3546,128832.0000,135824.0000,130816.0000,126976.0000
15,127144.1664,2253.8362,126864.0000,133392.0000,128544.0000,125536.0000
16,121970.9856,2697.0991,121888.0000,128272.1600,123776.0000,120096.0000
17,115010.0544,2354.9731,114784.0000,121376.0000,116448.0000,113408.0000
18,108870.8512,2357.7371,108688.0000,114896.3200,110384.0000,107248.0000
19,108234.8416,2801.4582,108176.0000,114864.3200,110096.0000,106256.0000
20,100634.5984,2232.4289,100528.0000,106496.1600,101952.0000,99168.0000
21,95444.8640,2241.6103,95296.0000,101136.1600,96896.0000,93932.0000
22,94537.1264,2679.8715,94464.0000,101120.8000,96272.0000,92684.0000
23,93061.7440,2613.8652,92944.0000,99520.0000,94768.0000,91232.0000
24,87596.1248,2111.7113,87504.0000,93232.0000,88864.0000,86176.0000
25,83613.3984,1852.2928,83472.0000,88880.0000,84688.0000,82448.0000
26,82477.1776,2051.2488,82432.0000,87760.1600,83744.0000,81088.0000
27,81411.4848,2212.9121,81328.0000,87088.1600,82784.0000,79872.0000
28,80927.9040,2506.6332,80848.0000,86960.0000,82624.0000,79184.0000
29,78093.7344,2330.9908,77976.0000,84000.4800,79552.0000,76544.0000
30,74647.0304,2161.8271,74544.0000,80128.1600,76020.0000,73216.0000
31,71578.0224,2024.6500,71408.0000,76912.1600,72832.0000,70188.0000
