1748.880 62.720 555.040 797.030 810.860 570.533 52.104 0.000
3501.780 91.814 558.140 777.960 860.930 569.886 41.825 0.000
5218.110 109.807 562.190 768.900 814.738 573.657 36.081 0.000
6959.970 130.632 562.910 668.050 889.060 573.444 30.275 0.000
7102.510 118.697 566.960 1173.970 1228.090 702.558 234.505 0.026
7095.420 142.337 1040.220 1230.000 1362.090 844.049 269.850 0.910
7212.470 80.114 1086.950 1194.000 1224.990 968.812 233.411 0.049
7224.310 102.811 1098.160 1230.000 1285.799 1105.480 48.110 0.789
7283.860 66.993 1091.000 1278.880 25123.273 1233.462 1457.377 0.165
7279.000 40.063 1093.150 17136.100 25238.240 1371.369 2066.337 0.854
7255.280 97.829 1091.960 17169.000 29171.522 1513.349 2524.178 0.514
7200.850 91.030 1096.960 17194.990 29195.046 1663.414 2907.390 0.238
7245.480 59.317 1091.960 17199.990 29253.960 1791.054 3238.069 0.236
7274.300 46.641 1091.000 17201.190 29183.641 1921.417 3507.355 0.268
7270.550 46.182 1091.960 17207.860 29179.100 2059.477 3764.518 0.866
7227.940 60.581 1095.060 17221.930 29178.073 2210.140 3998.680 0.112
7253.050 24.051 1092.910 22967.770 45149.536 2339.247 4532.415 0.271
7216.470 47.343 1096.010 25182.010 45315.770 2489.813 4991.717 0.059
7233.050 39.200 1094.100 25213.000 49099.685 2623.077 5388.908 0.429
7258.700 36.025 1091.960 25228.020 49140.930 2750.711 5738.350 0.166
7268.550 21.720 1091.000 25225.990 49138.070 2884.065 6011.075 0.493
7229.140 30.446 1096.010 25250.910 45333.442 3037.319 6304.448 0.006
7239.800 34.236 1095.060 25244.950 41241.471 3171.413 6580.833 0.494
7242.330 18.812 1094.100 25238.990 41156.246 3308.287 6802.075 0.849
7255.990 24.762 1091.960 29124.980 49155.000 3439.106 7061.245 0.205
7244.170 25.654 1093.860 29170.040 49172.590 3583.080 7286.072 0.333
7250.950 22.518 1092.910 29196.980 49200.060 3716.985 7503.625 0.559
7234.850 19.855 1094.820 29224.870 49173.857 3863.345 7705.696 0.125
7227.440 18.140 1096.010 29197.220 49179.964 4005.953 7862.728 0.419
7231.070 20.059 1096.010 29159.070 49167.442 4141.793 8008.226 0.692
7220.070 20.903 1096.960 29122.110 48439.327 4286.470 8154.157 0.270
7215.370 17.675 1098.160 25322.910 41220.791 4427.544 8289.130 0.613
