465.87	471.12	927.21	935.08	473.02
463.96	465.15	929.83	931.98	473.02
468.02	464.92	931.02	928.88	468.02
468.02	465.15	927.93	931.98	470.88
470.16	469.92	928.88	936.03	469.92
468.97	463.96	931.02	931.02	474.93
468.02	468.97	933.89	928.88	471.83
469.21	468.97	929.83	928.16	469.92
468.97	465.87	928.88	931.98	468.97
467.06	464.20	927.93	933.89	472.78
469.92	470.88	931.98	930.07	468.97
468.97	465.87	926.97	928.16	471.12
464.92	476.12	930.07	931.98	473.98
468.97	467.06	930.07	933.89	473.02
470.88	468.02	932.93	934.12	471.12
470.88	465.15	931.02	926.97	473.02
468.97	468.97	926.97	933.89	472.07
467.06	469.92	931.02	931.98	474.93
468.97	466.82	928.88	930.07	472.78
468.02	468.97	936.03	929.12	471.83
468.02	467.06	927.21	927.93	472.78
469.21	478.03	931.98	931.98	472.07
464.92	467.06	925.06	931.02	475.88
465.15	463.96	933.89	928.16	471.83
464.92	468.02	926.97	931.02	468.97
467.06	466.11	928.88	930.07	473.98
466.11	468.97	929.83	940.08	477.08
468.97	470.16	932.93	926.02	471.12
466.11	464.92	930.07	932.93	470.88
468.97	468.97	929.12	931.98	475.88
471.83	464.92	929.12	932.93	478.03
466.82	467.06	930.07	935.08	473.02
468.02	468.02	936.03	931.02	473.02
468.02	462.77	930.07	929.12	473.98
468.02	464.92	929.12	933.17	478.03
468.97	468.97	929.12	936.03	474.93
468.97	467.78	931.98	931.02	472.07
468.02	468.02	929.12	931.98	470.16
472.07	473.98	926.02	931.98	472.07
468.97	468.02	931.98	931.98	468.97
468.97	471.12	932.93	935.08	471.12
467.78	471.12	929.12	930.07	470.88
468.97	473.98	929.12	930.07	471.83
467.06	466.11	929.12	941.04	473.98
467.06	468.97	929.83	933.17	474.93
464.92	470.16	931.02	932.93	471.12
469.21	474.93	928.88	927.93	472.07
469.92	468.97	930.79	934.84	472.07
467.06	463.96	925.06	928.88	473.02
468.02	467.06	937.94	926.97	469.92
466.82	468.97	928.16	931.98	471.83
467.06	465.87	931.98	936.03	477.08
466.11	468.02	927.21	931.02	472.07
468.02	467.06	931.98	933.89	473.02
466.11	467.06	925.06	934.84	475.17
468.97	478.03	926.97	932.93	472.07
468.97	465.15	926.97	934.12	471.83
468.02	467.06	931.02	931.02	471.83
468.97	469.92	932.93	929.12	470.88
465.15	467.78	928.16	929.12	477.08
468.02	470.88	925.06	934.12	473.02
468.97	467.78	930.07	931.02	470.88
472.07	470.88	935.08	931.02	476.12
470.16	473.02	929.12	931.98	472.07
473.02	468.02	930.07	931.02	473.98
466.11	470.88	929.12	929.12	472.07
466.82	466.82	936.03	930.07	471.12
469.92	472.07	932.22	927.93	473.02
466.11	467.06	931.02	932.93	474.93
465.87	466.11	931.02	931.98	475.88
465.87	463.96	934.12	931.98	473.02
467.06	464.92	930.07	930.07	473.02
468.97	468.97	929.12	931.98	475.17
468.97	464.92	930.07	934.84	475.88
468.02	467.06	934.12	931.98	475.88
468.02	471.12	927.93	931.02	473.98
470.16	464.92	929.83	933.17	475.88
468.97	473.98	929.83	936.03	473.02
470.16	468.02	926.97	930.07	470.88
468.02	463.96	931.98	930.07	469.92
468.02	468.97	928.88	927.21	471.12
472.07	473.02	930.79	936.99	470.88
469.92	463.96	926.97	933.17	473.02
468.97	472.07	936.03	931.98	472.78
467.06	468.02	929.83	932.93	472.07
468.02	467.06	928.88	929.12	476.84
468.97	469.92	928.88	935.08	471.83
