871.380 10.440 1146.080 1180.890 1521.526 1145.227 17.126 0.000
1724.930 18.202 1154.900 1204.010 1542.752 1157.084 20.393 0.000
2589.310 23.466 1151.080 1219.030 1582.226 1156.232 24.237 0.000
3459.930 41.593 1148.940 1256.940 1585.868 1153.698 25.785 0.000
4332.110 27.801 1148.940 1205.210 1590.662 1151.774 21.202 0.000
5182.480 34.867 1152.990 1234.050 1607.932 1155.357 23.076 0.000
5156.450 30.211 1157.050 13181.920 25226.398 1354.771 1452.123 0.108
5157.220 25.083 1157.050 13278.960 24457.725 1547.950 2035.597 0.954
5128.570 16.789 1158.950 13294.940 21336.419 1751.116 2471.415 0.012
5090.000 29.146 1166.110 13308.050 17370.964 1960.394 2826.323 0.004
5083.800 28.736 1168.010 13311.860 25213.000 2158.928 3137.501 0.655
5052.850 14.457 1172.070 13319.020 17310.860 2370.094 3404.488 0.013
5041.880 18.995 1173.020 17240.050 29340.597 2573.584 3862.120 0.186
5028.560 17.430 1176.830 17323.970 29358.215 2778.228 4133.952 0.139
5004.980 11.078 1179.930 17338.990 29206.647 2989.887 4386.388 0.004
4984.490 16.442 1184.940 17350.910 29343.519 3202.737 4616.291 0.007
4980.990 17.510 1183.990 17349.000 25382.040 3405.654 4797.767 0.667
4953.270 11.564 1189.950 17355.920 25356.387 3626.430 4957.250 0.001
4950.300 11.072 1188.990 25296.140 33389.919 3830.230 5705.653 0.585
4933.710 19.431 1194.000 25359.150 37319.623 4044.693 6114.269 0.043
4925.850 15.832 1194.000 25370.120 37336.294 4254.697 6527.707 0.360
4889.900 80.939 1196.150 25372.030 35816.846 4488.033 6921.964 0.221
4912.450 16.407 1195.910 25378.940 33269.231 4670.633 7261.530 0.432
4914.790 11.526 1194.000 25377.040 29418.950 4870.859 7596.623 0.731
4882.070 17.629 1201.870 25415.180 37376.143 5109.682 7554.030 0.000
4847.660 76.244 1204.970 25413.990 37365.910 5350.954 7667.257 0.217
4852.610 8.116 1210.210 25796.464 37253.419 5551.776 7764.550 0.851
4836.330 17.485 1216.890 25552.379 33426.219 5777.366 7749.738 0.025
4812.070 11.688 1225.950 25408.980 33408.132 6014.395 7749.511 0.003
4800.580 14.091 1232.860 21690.130 33256.976 6236.616 7715.271 0.077
4800.490 13.042 1230.000 25819.905 36263.911 6443.719 8201.757 0.989
4790.390 16.811 1233.100 25933.980 37371.893 6663.975 8434.873 0.173
