730.620 15.525 1356.840 1477.000 1884.231 1366.292 36.097 0.000
1462.420 20.173 1358.030 1487.970 1795.411 1365.140 33.394 0.000
2197.660 17.578 1358.990 1433.850 1816.075 1362.635 24.927 0.000
2944.080 15.467 1353.980 1414.060 1795.168 1356.211 19.808 0.000
3658.220 26.227 1359.940 1455.070 1813.890 1364.312 24.797 0.000
4385.370 33.049 1361.130 1502.990 1818.934 1365.712 30.075 0.000
4363.970 15.126 1364.950 13443.950 29411.934 1601.141 1668.518 0.102
4356.220 24.086 1366.850 13505.940 21559.000 1833.198 2250.577 0.426
4326.590 36.067 1371.150 13523.100 25510.327 2076.775 2693.556 0.058
4291.830 23.058 1381.160 13544.080 25471.126 2325.976 3031.258 0.028
4303.430 12.496 1379.010 13548.850 21554.917 2551.849 3375.328 0.206
4263.650 27.731 1386.170 13556.960 17562.343 2809.186 3654.827 0.002
4243.900 13.819 1391.170 17552.850 29554.031 3057.825 4176.209 0.078
4241.630 23.605 1393.080 17577.170 29644.175 3294.551 4465.966 0.807
4222.000 20.361 1398.090 17594.100 33520.788 3546.726 4701.558 0.075
4209.340 20.194 1400.950 17604.110 29599.562 3794.295 4956.884 0.202
4188.230 22.267 1406.910 17608.880 29474.599 4052.455 5123.570 0.050
4159.900 19.561 1417.880 17620.090 25675.297 4319.117 5360.603 0.010
4158.170 14.927 1415.970 25600.190 37499.197 4561.319 6177.364 0.835
4163.450 10.775 1413.110 25617.120 36033.910 4795.291 6608.717 0.402
4155.490 18.367 1416.920 25630.950 37586.274 5044.372 6995.866 0.280
4146.880 10.935 1418.830 25635.000 37524.351 5295.400 7418.047 0.246
4135.810 19.878 1420.970 25643.110 37543.943 5549.786 7787.333 0.165
4132.050 13.220 1422.170 25654.080 33630.619 5797.329 8137.286 0.643
4107.960 7.056 1435.040 29467.110 37540.505 6074.538 8068.636 0.000
4099.670 7.404 1441.000 26927.950 37447.017 6329.833 8127.810 0.026
4084.870 13.563 1452.920 26897.251 37635.090 6599.082 8167.342 0.012
4074.890 11.701 1460.080 26752.950 37519.997 6858.708 8177.359 0.112
4048.900 10.843 1472.950 25879.219 33658.516 7150.060 8083.881 0.000
4038.000 10.998 1479.150 25671.960 33561.940 7416.189 8083.462 0.048
4041.880 4.981 1477.000 26760.820 37715.386 7655.959 8548.274 0.353
4033.700 12.790 1480.820 26938.920 37516.335 7919.110 8922.200 0.100
