cores,mean_t,std_t,med_t,99_t,75_t,25_t
1,1058346.6304,1414.3176,1058432.0000,1062288.3200,1058960.0000,1057968.0000
2,676332.2080,5492.7696,675248.0000,692240.6400,679524.0000,672076.0000
3,555614.2656,4767.7660,554920.0000,569568.0000,558240.0000,552176.0000
4,500368.9856,4552.6323,499696.0000,513776.8000,502864.0000,497100.0000
5,470117.1296,3894.9328,469568.0000,481024.0000,472432.0000,467392.0000
6,454773.0944,3524.0191,454320.0000,465024.3200,456864.0000,452304.0000
7,446917.3088,3272.1685,446512.0000,456336.1600,448736.0000,444640.0000
8,394654.1600,4655.1890,394432.0000,406656.9600,397584.0000,391532.0000
9,355830.5152,5401.7734,355784.0000,369184.6400,359344.0000,352240.0000
10,322241.8752,5530.9877,322168.0000,335248.1600,325952.0000,318496.0000
11,299482.0064,5690.7992,299456.0000,313040.6400,303392.0000,295664.0000
12,276712.5056,5731.6401,276792.0000,290288.3200,280496.0000,272832.0000
13,253917.8432,5761.8145,253976.0000,267088.1600,257728.0000,250000.0000
14,242225.1296,5668.5228,242128.0000,256192.0000,245920.0000,238064.0000
15,234729.2256,3831.2538,234144.0000,245744.1600,236992.0000,231984.0000
16,222974.8032,4432.4296,222480.0000,234720.9600,225888.0000,219728.0000
17,212284.3296,3977.8796,211920.0000,223248.4800,214736.0000,209520.0000
18,201072.7712,4015.5865,200736.0000,211600.9600,203568.0000,198240.0000
19,197886.7552,4922.5509,197536.0000,209904.1600,201200.0000,194384.0000
20,187317.9872,4344.0682,187024.0000,198720.0000,189952.0000,184272.0000
21,177097.9168,4106.4373,176800.0000,187888.6400,179680.0000,174284.0000
22,173320.3328,4677.7522,173056.0000,184928.1600,176352.0000,170000.0000
23,171063.3216,4483.7131,170768.0000,182464.0000,173920.0000,167872.0000
24,163832.9216,4400.5362,163408.0000,175568.4800,166640.0000,160592.0000
25,156085.2320,3905.5260,155616.0000,167216.1600,158368.0000,153280.0000
26,151713.4848,3706.2631,151440.0000,161760.0000,153968.0000,149120.0000
27,149921.5904,3892.2936,149600.0000,160640.3200,152304.0000,147120.0000
28,149001.6256,4366.4982,148688.0000,160064.4800,151840.0000,145884.0000
29,144711.0560,4076.6546,144520.0000,155312.1600,147300.0000,141888.0000
30,140421.6416,4544.9213,140016.0000,152336.1600,143408.0000,137136.0000
31,134936.7936,4309.3226,134472.0000,146320.4800,137568.0000,131696.0000
