cores,mean_t,std_t,med_t,99_t,75_t,25_t
1,391480.8032,161.7567,391504.0000,391680.0000,391568.0000,391456.0000
2,273141.4576,314.6534,273184.0000,273792.0000,273360.0000,272960.0000
3,216691.4016,484.5654,216752.0000,217584.0000,217024.0000,216416.0000
4,189512.7440,497.6404,189552.0000,190512.0000,189856.0000,189216.0000
5,176132.1584,265.8551,176144.0000,176624.0000,176320.0000,175968.0000
6,170636.1600,287.1910,170736.0000,171024.0000,170832.0000,170512.0000
7,168080.5968,250.8063,168080.0000,168560.0000,168208.0000,167968.0000
8,152695.3328,203.6003,152736.0000,153040.0000,152800.0000,152640.0000
9,142110.6480,218.7324,142144.0000,142432.0000,142240.0000,142048.0000
10,131915.2368,254.7152,132016.0000,132272.0000,132112.0000,131728.0000
11,125346.1536,241.4773,125440.0000,125648.0000,125520.0000,125200.0000
12,118475.0144,234.6117,118432.0000,118816.0000,118688.0000,118336.0000
13,110850.0064,235.9919,110800.0000,111200.0000,111072.0000,110720.0000
14,87027.7696,158.7799,87056.0000,87200.0000,87104.0000,87024.0000
15,82568.0000,158.8327,82608.0000,82736.0000,82640.0000,82544.0000
16,81942.7328,191.2260,81952.0000,82192.0000,82096.0000,81872.0000
17,78304.8176,176.1478,78304.0000,78592.0000,78416.0000,78256.0000
18,74829.2048,195.9081,74832.0000,75104.0000,74992.0000,74736.0000
19,74822.4256,193.4100,74832.0000,75104.0000,74976.0000,74736.0000
20,70818.5664,172.4428,70848.0000,71024.0000,70928.0000,70752.0000
21,67664.7792,160.8597,67712.0000,67824.0000,67760.0000,67632.0000
22,60876.2368,166.3813,60896.0000,61072.0000,60976.0000,60848.0000
23,59592.8096,156.1120,59616.0000,59808.0000,59664.0000,59584.0000
24,56377.7568,155.6087,56416.0000,56528.0000,56448.0000,56368.0000
25,53349.5248,153.5329,53376.0000,53520.0000,53408.0000,53344.0000
26,53352.7312,151.8258,53376.0000,53520.0000,53424.0000,53344.0000
27,53322.7200,155.8853,53344.0000,53520.0000,53392.0000,53312.0000
28,53325.6016,151.4013,53344.0000,53520.0000,53392.0000,53328.0000
29,51537.6816,160.2159,51552.0000,51760.0000,51600.0000,51520.0000
30,46022.3472,152.8685,46064.0000,46144.0000,46080.0000,46032.0000
31,43425.9184,153.7615,43472.0000,43568.0000,43504.0000,43424.0000
