cores,mean_t,std_t,med_t,99_t,75_t,25_t
1,614141.2320,1362.9178,614224.0000,618256.0000,614576.0000,613984.0000
2,381440.3968,3131.4458,381008.0000,390032.0000,383264.0000,379168.0000
3,308408.5152,2665.8098,308160.0000,315776.1600,309956.0000,306608.0000
4,275247.1264,2641.6665,274944.0000,282576.1600,276784.0000,273456.0000
5,257000.8000,2219.1084,256880.0000,262752.1600,258320.0000,255568.0000
6,248132.2016,2091.8513,248032.0000,253616.1600,249456.0000,246816.0000
7,243671.2480,1933.7909,243632.0000,248752.3200,244800.0000,242544.0000
8,214918.5664,2605.0096,214880.0000,221232.4800,216592.0000,213244.0000
9,193593.5808,2902.1239,193640.0000,200496.0000,195488.0000,191680.0000
10,174977.4688,2936.0257,175008.0000,181856.6400,176960.0000,173024.0000
11,162488.8768,2982.3496,162528.0000,169584.0000,164512.0000,160528.0000
12,149947.3664,3045.8425,150016.0000,156880.0000,152000.0000,147968.0000
13,137458.3072,3076.0012,137536.0000,144336.4800,139552.0000,135388.0000
14,131150.9152,3121.8410,131136.0000,138512.0000,133248.0000,128992.0000
15,126495.8656,2213.7702,126360.0000,132336.0000,127792.0000,125104.0000
16,119753.0080,2386.1753,119600.0000,125776.0000,121232.0000,118160.0000
17,114120.0704,2243.5577,114008.0000,119808.3200,115488.0000,112688.0000
18,107984.3968,2273.8060,107904.0000,113696.1600,109424.0000,106544.0000
19,105952.7264,2637.1907,105856.0000,112224.0000,107696.0000,104160.0000
20,100623.4336,2449.3045,100512.0000,106752.0000,102112.0000,99040.0000
21,94915.1488,2336.7072,94832.0000,100800.9600,96400.0000,93392.0000
22,92599.8016,2534.6090,92496.0000,98768.3200,94224.0000,90928.0000
23,91438.8320,2436.8582,91376.0000,97344.1600,93024.0000,89856.0000
24,87837.9712,2506.5167,87680.0000,94000.0000,89508.0000,86128.0000
25,83382.0832,2325.0336,83280.0000,89600.3200,84832.0000,81836.0000
26,80670.4256,2069.6867,80672.0000,85856.1600,81952.0000,79360.0000
27,79718.4480,2151.0593,79680.0000,85024.3200,81056.0000,78304.0000
28,79308.4480,2392.7092,79248.0000,85168.1600,80880.0000,77696.0000
29,77072.0896,2235.0887,77072.0000,82448.0000,78544.0000,75664.0000
30,75060.5216,2569.4085,74928.0000,81312.6400,76756.0000,73344.0000
31,72023.2896,2507.7155,71888.0000,78304.0000,73616.0000,70284.0000
