work_dims,mean_t,std_t,med_t,99_t,75_t,25_t
1,16742.5824,718.6452,16896.0000,17232.0000,16992.0000,16800.0000
2,23336.9120,842.2507,23296.0000,24416.0000,23376.0000,23248.0000
3,23723.5552,871.0106,24256.0000,24496.0000,24336.0000,23280.0000
4,23870.6880,824.6224,24272.0000,24496.0000,24336.0000,23328.0000
5,20592.1664,899.4483,20576.0000,22928.9600,20944.0000,20480.0000
6,20664.0416,1139.3425,20672.0000,21200.0000,20960.0000,20496.0000
7,20666.0288,1106.0468,20816.0000,21120.0000,20944.0000,20480.0000
8,32553.6832,724.1660,32656.0000,33248.0000,32800.0000,32592.0000
9,36337.0272,858.4494,36544.0000,37472.0000,36848.0000,36000.0000
10,37836.7328,1354.6969,38032.0000,40704.1600,38704.0000,36880.0000
11,31059.1424,11153.0679,21088.0000,45312.0000,42900.0000,20928.0000
12,44338.4896,1359.9025,44352.0000,47264.0000,45248.0000,43488.0000
13,29137.7120,14351.1882,17440.0000,48672.3200,46080.0000,17248.0000
14,35543.7600,14953.4586,46576.0000,50320.3200,48000.0000,17328.0000
15,48131.6960,1161.3231,48176.0000,50624.0000,48832.0000,47536.0000
16,18291.9232,2577.7809,18160.0000,18432.0000,18224.0000,17888.0000
17,53112.0128,1736.8573,53136.0000,56832.1600,54256.0000,52032.0000
18,54290.1760,1788.6243,54336.0000,58016.0000,55472.0000,53152.0000
19,26864.7872,13141.6172,21584.0000,60640.1600,21680.0000,21216.0000
20,47798.6112,17911.6369,59168.0000,62864.0000,60352.0000,21664.0000
21,62244.3168,1683.8630,62224.0000,65824.0000,63248.0000,61264.0000
22,34391.6288,24969.0903,13024.0000,66432.0000,63008.0000,12912.0000
23,63834.9408,1484.1596,63904.0000,66720.0000,64704.0000,63040.0000
24,64937.6000,1490.8994,64992.0000,67840.1600,65824.0000,64176.0000
25,69127.6992,1992.0311,69168.0000,73184.3200,70416.0000,67936.0000
26,70252.0320,2003.2412,70336.0000,74240.1600,71504.0000,69040.0000
27,71546.8128,2188.3306,71520.0000,76240.0000,72912.0000,70160.0000
28,73146.6336,2498.9075,73024.0000,79088.1600,74688.0000,71472.0000
