work_dims,mean_t,std_t,med_t,99_t,75_t,25_t
1,7891.8208,279.6577,7936.0000,8512.0000,8112.0000,7744.0000
2,20385.9344,287.4573,20416.0000,21040.0000,20608.0000,20224.0000
3,32864.1328,281.3930,32864.0000,33520.0000,33056.0000,32736.0000
4,45375.6784,303.0290,45440.0000,45952.0000,45616.0000,45216.0000
5,57750.4016,254.1775,57776.0000,58368.0000,57888.0000,57632.0000
6,70301.9040,297.3324,70336.0000,70944.0000,70528.0000,70112.0000
7,82785.1536,298.4742,82800.0000,83392.0000,82992.0000,82576.0000
8,95215.1488,269.3086,95216.0000,95808.0000,95392.0000,95072.0000
9,108710.5776,276.8157,108736.0000,109312.0000,108912.0000,108544.0000
10,115132.6176,278.7201,115184.0000,115728.0000,115312.0000,114976.0000
11,128525.4080,256.5639,128560.0000,129200.0000,128656.0000,128384.0000
12,134972.4560,256.2854,135024.0000,135584.0000,135120.0000,134848.0000
13,148411.8912,280.6267,148448.0000,149024.1600,148592.0000,148272.0000
14,154851.9440,279.1713,154864.0000,155472.0000,155056.0000,154688.0000
15,168298.8064,281.7661,168320.0000,168928.0000,168496.0000,168112.0000
16,174689.3392,257.0428,174736.0000,175312.0000,174832.0000,174560.0000
17,188097.7008,260.8708,188144.0000,188736.0000,188240.0000,187968.0000
18,194518.4336,261.2634,194560.0000,195168.0000,194672.0000,194400.0000
19,207969.8304,259.2116,207984.0000,208592.0000,208128.0000,207840.0000
20,214365.5616,258.1934,214400.0000,215008.0000,214528.0000,214224.0000
21,227773.3456,258.6052,227808.0000,228416.0000,227920.0000,227632.0000
22,234273.7968,297.1454,234304.0000,234912.0000,234496.0000,234096.0000
23,247674.2000,276.8404,247712.0000,248288.0000,247856.0000,247536.0000
24,254090.4416,274.4805,254112.0000,254704.0000,254272.0000,253936.0000
25,269083.4064,277.3846,269104.0000,269712.0000,269264.0000,268912.0000
26,275522.3856,278.2424,275552.0000,276176.0000,275712.0000,275360.0000
27,282032.4144,302.5403,282080.0000,282672.1600,282240.0000,281856.0000
28,288379.3120,271.5711,288400.0000,289008.0000,288560.0000,288240.0000
