work_dims,mean_t,std_t,med_t,99_t,75_t,25_t
1,17506.9152,407.9821,17632.0000,18176.0000,17840.0000,17008.0000
2,43561.7152,623.0175,43744.0000,44528.0000,44064.0000,42704.0000
3,69265.1200,626.7573,69472.0000,70240.1600,69760.0000,68400.0000
4,94971.0048,629.4372,95152.0000,96000.0000,95472.0000,94112.0000
5,120790.6528,702.8219,121008.0000,121872.0000,121360.0000,119824.0000
6,146502.6464,708.7238,146720.0000,147568.0000,147056.0000,145504.0000
7,172323.6320,782.8898,172592.0000,173472.1600,172944.0000,171216.0000
8,198029.5968,791.7798,198304.0000,199200.0000,198656.0000,196912.0000
9,227122.0704,848.6563,227424.0000,228368.0000,227776.0000,225920.0000
10,235533.4528,862.7189,235840.0000,236784.0000,236192.0000,234320.0000
11,264465.8592,881.2440,264784.0000,265744.0000,265152.0000,263216.0000
12,272892.2848,886.7397,273232.0000,274160.0000,273552.0000,271632.0000
13,301810.1696,915.0314,302144.0000,303136.0000,302512.0000,300512.0000
14,310214.9664,924.7788,310544.0000,311648.0000,310896.0000,308896.0000
15,339122.9152,943.6089,339456.0000,340576.1600,339824.0000,337776.0000
16,347516.7520,925.5987,347840.0000,348896.0000,348224.0000,346192.0000
17,376387.9392,931.7438,376736.0000,377792.0000,377120.0000,375056.0000
18,384768.9024,949.6867,385120.0000,386240.0000,385488.0000,383424.0000
19,413765.8176,1009.8585,414128.0000,415232.0000,414544.0000,412320.0000
20,422152.0352,1006.8667,422528.0000,423616.0000,422932.0000,420704.0000
21,451029.9360,999.6356,451392.0000,452528.0000,451776.0000,449600.0000
22,459434.4544,1003.0199,459776.0000,460976.0000,460176.0000,458000.0000
23,488361.3344,1021.0766,488736.0000,489792.0000,489136.0000,486896.0000
24,496762.5344,1014.6289,497120.0000,498192.1600,497536.0000,495296.0000
25,532818.4064,1012.8649,533200.0000,534336.0000,533568.0000,531360.0000
26,541205.6576,1008.7645,541552.0000,542688.0000,541968.0000,539744.0000
27,549604.1600,1013.8644,549968.0000,551040.1600,550384.0000,548144.0000
28,557991.1936,1011.0568,558352.0000,559472.0000,558768.0000,556544.0000
