cores,mean_t,std_t,med_t,99_t,75_t,25_t
1,649441.8080,354.4846,649488.0000,650112.0000,649680.0000,649232.0000
2,462815.1680,548.6990,462816.0000,464064.1600,463184.0000,462464.0000
3,365336.1104,528.8210,365344.0000,366496.0000,365696.0000,364992.0000
4,315415.6736,586.5524,315408.0000,316752.1600,315808.0000,315008.0000
5,290895.8880,405.4101,290928.0000,291760.0000,291168.0000,290656.0000
6,278862.0640,388.8037,278896.0000,279648.0000,279136.0000,278640.0000
7,274559.3136,378.1690,274608.0000,275312.0000,274816.0000,274336.0000
8,250905.8816,353.9428,250944.0000,251616.0000,251152.0000,250704.0000
9,234763.3056,354.6487,234800.0000,235472.0000,234992.0000,234576.0000
10,219087.0960,359.8145,219136.0000,219808.0000,219328.0000,218880.0000
11,208929.5840,368.2474,208960.0000,209680.0000,209168.0000,208720.0000
12,198555.4160,361.0648,198608.0000,199296.0000,198784.0000,198352.0000
13,186401.8608,364.3106,186448.0000,187104.0000,186656.0000,186192.0000
14,144009.1968,331.9245,144064.0000,144624.0000,144240.0000,143824.0000
15,136792.1456,320.4128,136832.0000,137408.0000,137008.0000,136608.0000
16,138368.6032,327.2019,138416.0000,138976.1600,138592.0000,138192.0000
17,132698.5168,336.9565,132752.0000,133328.0000,132928.0000,132512.0000
18,127131.8272,333.7657,127200.0000,127728.0000,127344.0000,126944.0000
19,127138.5120,330.4996,127200.0000,127760.0000,127344.0000,126976.0000
20,120672.6736,340.8515,120736.0000,121280.0000,120912.0000,120464.0000
21,115997.3904,329.2699,116064.0000,116592.1600,116208.0000,115808.0000
22,103759.2576,336.2189,103824.0000,104368.0000,103984.0000,103584.0000
23,101589.7216,329.0960,101664.0000,102160.0000,101824.0000,101424.0000
24,96269.6928,332.4745,96336.0000,96864.0000,96512.0000,96112.0000
25,91866.8624,343.5213,91936.0000,92464.0000,92096.0000,91648.0000
26,91866.3520,340.8801,91936.0000,92464.0000,92096.0000,91664.0000
27,91745.1472,348.5441,91824.0000,92352.0000,91984.0000,91536.0000
28,91793.7392,350.8971,91856.0000,92432.0000,92032.0000,91600.0000
29,89256.9840,346.0601,89312.0000,89904.0000,89488.0000,89040.0000
30,78373.4032,352.6041,78448.0000,78976.0000,78608.0000,78160.0000
31,74435.6560,348.5179,74496.0000,75056.1600,74688.0000,74208.0000
