cores,mean_t,std_t,med_t,99_t,75_t,25_t
1,388699.0272,260.7774,388752.0000,389104.0000,388848.0000,388624.0000
2,269207.9136,479.6536,269216.0000,270304.0000,269504.0000,268912.0000
3,210377.2400,446.5811,210400.0000,211392.0000,210672.0000,210112.0000
4,181276.3344,471.9367,181280.0000,182320.0000,181584.0000,180992.0000
5,166607.2192,298.8659,166640.0000,167184.0000,166784.0000,166496.0000
6,159857.0096,282.7797,159904.0000,160336.1600,160032.0000,159760.0000
7,157299.1536,282.6022,157328.0000,157808.0000,157472.0000,157200.0000
8,142738.7280,274.3275,142784.0000,143200.1600,142912.0000,142656.0000
9,132839.9792,277.4880,132880.0000,133328.0000,133008.0000,132752.0000
10,123203.3664,276.9724,123248.0000,123680.0000,123360.0000,123120.0000
11,116975.9072,277.8246,117024.0000,117472.0000,117136.0000,116880.0000
12,110624.1024,270.8365,110656.0000,111136.0000,110768.0000,110544.0000
13,103470.2272,262.0490,103520.0000,103872.0000,103616.0000,103408.0000
14,81799.7280,241.7114,81856.0000,82080.0000,81920.0000,81776.0000
15,77525.1888,243.5080,77584.0000,77840.0000,77648.0000,77504.0000
16,77691.8720,238.8192,77744.0000,77984.0000,77808.0000,77680.0000
17,74262.9808,243.9312,74320.0000,74640.0000,74384.0000,74240.0000
18,70884.5776,236.6399,70944.0000,71152.0000,71008.0000,70864.0000
19,70871.7840,244.1540,70928.0000,71184.0000,70992.0000,70848.0000
20,67114.4304,237.0158,67168.0000,67376.0000,67232.0000,67120.0000
21,64171.2592,240.5004,64240.0000,64448.0000,64304.0000,64160.0000
22,57994.3056,246.0156,58064.0000,58256.0000,58144.0000,57936.0000
23,56721.0640,236.9442,56768.0000,56992.0000,56832.0000,56720.0000
24,53685.4576,228.7540,53744.0000,53888.0000,53792.0000,53696.0000
25,50768.8928,235.1586,50832.0000,51024.0000,50880.0000,50768.0000
26,50781.4368,234.2873,50848.0000,51024.0000,50896.0000,50784.0000
27,50710.3376,235.9287,50768.0000,51008.0000,50816.0000,50704.0000
28,50704.7488,235.4625,50752.0000,51008.0000,50816.0000,50704.0000
29,49206.0144,242.5820,49248.0000,49520.0000,49328.0000,49184.0000
30,43535.6464,234.5859,43600.0000,43760.0000,43648.0000,43520.0000
31,41149.4544,241.4558,41216.0000,41408.0000,41280.0000,41120.0000
