cores,mean_t,std_t,med_t,99_t,75_t,25_t
1,141186.8096,3945.3082,140704.0000,151840.6400,143472.0000,138352.0000
2,141183.7120,3950.1429,140704.0000,151920.3200,143472.0000,138304.0000
3,141188.1792,3954.7650,140680.0000,151969.1200,143504.0000,138320.0000
4,141195.7248,3944.6212,140704.0000,152016.4800,143504.0000,138352.0000
5,141190.8096,3948.5199,140688.0000,151824.3200,143472.0000,138336.0000
6,141184.9824,3953.5309,140672.0000,151776.3200,143520.0000,138336.0000
7,141192.9024,3946.5439,140672.0000,152064.4800,143520.0000,138320.0000
8,141188.2080,3936.6530,140688.0000,152032.3200,143488.0000,138336.0000
9,141186.3936,3940.1776,140688.0000,151841.9200,143476.0000,138352.0000
10,141191.8240,3947.4203,140688.0000,152064.3200,143504.0000,138336.0000
11,141168.0160,3946.7170,140656.0000,151968.3200,143504.0000,138288.0000
12,141181.1808,3942.2286,140712.0000,151888.0000,143472.0000,138332.0000
13,141176.7456,3944.7455,140656.0000,151888.0000,143504.0000,138320.0000
14,141185.2960,3948.3213,140704.0000,151888.1600,143488.0000,138336.0000
15,141178.7104,3942.4280,140688.0000,151856.3200,143488.0000,138320.0000
16,141192.1248,3938.1637,140704.0000,151745.1200,143488.0000,138352.0000
17,141175.4208,3939.0819,140688.0000,152032.8000,143492.0000,138352.0000
18,141193.8688,3944.3573,140712.0000,151841.9200,143488.0000,138368.0000
19,141180.4256,3945.9543,140680.0000,151936.3200,143504.0000,138332.0000
20,141166.1920,3932.2296,140656.0000,151744.1600,143440.0000,138336.0000
21,141162.4224,3935.3277,140656.0000,152000.4800,143456.0000,138368.0000
22,141163.7952,3935.2595,140672.0000,151728.1600,143492.0000,138304.0000
23,141165.9392,3934.1949,140672.0000,151856.1600,143460.0000,138304.0000
24,141161.6160,3950.6833,140680.0000,152064.6400,143504.0000,138320.0000
25,141170.0544,3954.6733,140640.0000,151872.4800,143472.0000,138288.0000
26,141175.5424,3944.8924,140720.0000,151744.0000,143536.0000,138304.0000
27,141179.3728,3954.5257,140640.0000,151904.1600,143476.0000,138336.0000
28,141161.0880,3934.0587,140656.0000,151936.0000,143472.0000,138288.0000
29,141156.0480,3938.4365,140640.0000,152016.3200,143456.0000,138304.0000
30,141154.3616,3939.8610,140672.0000,151760.3200,143440.0000,138304.0000
31,141163.2832,3936.9386,140640.0000,151824.1600,143504.0000,138352.0000
