work_dims,mean_t,std_t,med_t,99_t,75_t,25_t
1,4695.5024,193.9352,4720.0000,5088.0000,4800.0000,4576.0000
2,14319.9264,191.1979,14336.0000,14688.0000,14432.0000,14208.0000
3,23939.3504,192.3886,23984.0000,24320.0000,24032.0000,23840.0000
4,33607.0560,194.7088,33664.0000,33984.0000,33712.0000,33488.0000
5,43211.0176,191.7269,43216.0000,43600.0000,43328.0000,43104.0000
6,52853.0272,196.6361,52880.0000,53264.0000,52944.0000,52736.0000
7,62477.2944,195.9349,62512.0000,62880.0000,62592.0000,62368.0000
8,72127.6112,198.0744,72176.0000,72496.0000,72256.0000,72000.0000
9,82130.3008,195.5282,82160.0000,82528.0000,82240.0000,82016.0000
10,88619.3760,197.0164,88656.0000,88992.0000,88736.0000,88512.0000
11,98578.6880,195.0625,98624.0000,98960.0000,98672.0000,98496.0000
12,105092.1376,195.9654,105104.0000,105488.0000,105216.0000,104992.0000
13,115058.1504,197.0454,115088.0000,115440.0000,115200.0000,114960.0000
14,121558.8720,200.1450,121584.0000,121952.0000,121680.0000,121456.0000
15,131533.2128,202.0531,131584.0000,131936.0000,131664.0000,131408.0000
16,138050.4528,202.6750,138096.0000,138448.0000,138160.0000,137936.0000
17,147999.2400,198.5389,148032.0000,148400.1600,148112.0000,147904.0000
18,154492.0864,196.4095,154544.0000,154880.1600,154592.0000,154400.0000
19,164452.2032,197.4450,164480.0000,164848.0000,164544.0000,164368.0000
20,170962.7456,197.9332,170976.0000,171360.0000,171088.0000,170864.0000
21,180918.9584,201.0342,180944.0000,181328.0000,181056.0000,180816.0000
22,187421.8688,203.6351,187440.0000,187824.0000,187552.0000,187328.0000
23,197396.8064,203.4624,197440.0000,197776.0000,197536.0000,197280.0000
24,203908.2272,201.5624,203952.0000,204304.0000,204016.0000,203808.0000
25,213904.0624,199.6512,213936.0000,214336.0000,214000.0000,213824.0000
26,220389.7536,200.0974,220432.0000,220816.0000,220496.0000,220304.0000
27,226900.0864,200.0522,226944.0000,227328.0000,227008.0000,226816.0000
28,233400.4672,201.0756,233424.0000,233808.0000,233504.0000,233312.0000
