work_dims,mean_t,std_t,med_t,99_t,75_t,25_t
1,7699.2800,360.3274,7760.0000,8384.0000,7936.0000,7536.0000
2,14728.7024,314.6144,14800.0000,15328.1600,14944.0000,14576.0000
3,17896.4336,303.3929,17952.0000,18496.0000,18080.0000,17744.0000
4,18022.3104,348.4899,18096.0000,18720.1600,18304.0000,17840.0000
5,21072.0528,320.3171,21120.0000,21696.0000,21296.0000,20864.0000
6,25584.2208,328.0939,25648.0000,26192.0000,25840.0000,25408.0000
7,29805.8544,306.1768,29856.0000,30448.0000,30016.0000,29648.0000
8,29755.6384,301.9487,29824.0000,30352.0000,29952.0000,29616.0000
9,32280.7696,308.1825,32368.0000,32880.0000,32480.0000,32144.0000
10,34451.7920,334.7510,34528.0000,35072.1600,34704.0000,34272.0000
11,39570.7888,350.2154,39616.0000,40192.0000,39808.0000,39360.0000
12,41371.3104,330.5529,41456.0000,41968.0000,41584.0000,41152.0000
13,45623.0000,341.0261,45696.0000,46240.0000,45856.0000,45424.0000
14,47389.2512,344.9358,47472.0000,48000.0000,47648.0000,47216.0000
15,47581.5008,337.8977,47648.0000,48176.1600,47808.0000,47376.0000
16,49951.4448,334.9567,50016.0000,50576.0000,50208.0000,49760.0000
17,52357.8752,338.7187,52448.0000,52992.0000,52592.0000,52160.0000
18,54157.6528,334.3967,54224.0000,54784.0000,54416.0000,53968.0000
19,59138.1904,337.1137,59200.0000,59776.1600,59360.0000,58928.0000
20,61061.6608,343.4328,61136.0000,61696.0000,61280.0000,60848.0000
21,65082.8368,337.8591,65184.0000,65712.0000,65312.0000,64864.0000
22,67174.7856,329.6364,67232.0000,67792.0000,67408.0000,66976.0000
23,67072.3104,342.8573,67152.0000,67696.0000,67280.0000,66848.0000
24,69320.5632,340.4897,69392.0000,69968.0000,69584.0000,69136.0000
25,70967.2560,346.1812,71024.0000,71600.0000,71200.0000,70752.0000
26,72901.4800,351.9075,72960.0000,73568.0000,73152.0000,72688.0000
27,74967.9424,346.8532,75024.0000,75616.0000,75200.0000,74768.0000
28,77161.1360,337.5396,77200.0000,77840.0000,77392.0000,76960.0000
