work_dims,mean_t,std_t,med_t,99_t,75_t,25_t
1,3979.8656,186.9110,4048.0000,4352.0000,4080.0000,3856.0000
2,8027.2320,147.8164,8080.0000,8112.0000,8096.0000,8032.0000
3,9657.1936,148.8009,9680.0000,9744.0000,9712.0000,9680.0000
4,9682.1472,148.9529,9728.0000,9760.0000,9744.0000,9696.0000
5,11701.4832,148.5068,11728.0000,11808.0000,11760.0000,11712.0000
6,14685.9904,148.8465,14736.0000,14768.0000,14736.0000,14704.0000
7,16899.5440,148.1448,16928.0000,16992.0000,16944.0000,16928.0000
8,16865.1088,149.1385,16896.0000,16960.0000,16928.0000,16880.0000
9,18766.6016,149.1562,18800.0000,18864.0000,18832.0000,18784.0000
10,19823.2032,150.7157,19856.0000,19920.0000,19888.0000,19840.0000
11,22931.4896,147.5035,22960.0000,23056.0000,23008.0000,22928.0000
12,23833.8016,147.2660,23856.0000,23936.0000,23888.0000,23840.0000
13,26024.8416,153.0243,26064.0000,26112.0000,26080.0000,26048.0000
14,26908.5760,147.7111,26928.0000,27040.0000,26976.0000,26912.0000
15,27015.1648,153.4393,27056.0000,27136.0000,27072.0000,27040.0000
16,28279.7664,152.8840,28320.0000,28400.0000,28352.0000,28272.0000
17,30130.4720,148.5891,30160.0000,30256.0000,30192.0000,30144.0000
18,31076.8368,149.7967,31104.0000,31216.0000,31136.0000,31088.0000
19,33540.0912,152.0892,33584.0000,33632.0000,33600.0000,33552.0000
20,34625.6848,149.9696,34656.0000,34736.0000,34672.0000,34640.0000
21,37036.1216,151.2619,37072.0000,37168.0000,37104.0000,37040.0000
22,38224.1792,154.5140,38256.0000,38352.0000,38288.0000,38240.0000
23,38070.3280,154.0526,38112.0000,38192.0000,38128.0000,38080.0000
24,39260.7808,161.0922,39312.0000,39376.0000,39344.0000,39280.0000
25,40438.4048,151.8774,40480.0000,40576.0000,40496.0000,40448.0000
26,41464.2784,158.0077,41488.0000,41680.0000,41536.0000,41456.0000
27,42350.5440,148.9076,42384.0000,42496.0000,42416.0000,42352.0000
28,43430.3584,156.2579,43472.0000,43568.0000,43504.0000,43424.0000
