work_dims,mean_t,std_t,med_t,99_t,75_t,25_t
1,26242.7552,1072.1599,26624.0000,27312.0000,26832.0000,26192.0000
2,39619.8176,1332.0819,39664.0000,41856.0000,39892.0000,39296.0000
3,41496.1856,1085.2092,41864.0000,42656.0000,42192.0000,41328.0000
4,41923.3920,1061.5008,42272.0000,42880.0000,42448.0000,42016.0000
5,47500.0352,1299.6899,48144.0000,48832.0000,48384.0000,46704.0000
6,57398.4384,1409.3358,58128.0000,59072.0000,58512.0000,56432.0000
7,60123.3696,1401.5059,60816.0000,61776.1600,61168.0000,59200.0000
8,60879.2960,1079.7989,61184.0000,62096.0000,61424.0000,60896.0000
9,66759.1360,1325.3689,67344.0000,68368.1600,67712.0000,65808.0000
10,69498.8576,2047.5348,69664.0000,73888.1600,70912.0000,68080.0000
11,78397.3056,1981.4898,78496.0000,82736.3200,79696.0000,77152.0000
12,81431.5200,2328.1260,81392.0000,86928.0000,83008.0000,79824.0000
13,85150.7392,2170.4983,85104.0000,90352.3200,86608.0000,83728.0000
14,87866.2336,2296.5694,87872.0000,93248.1600,89316.0000,86320.0000
15,88619.6096,1978.3669,88608.0000,93248.1600,89888.0000,87376.0000
16,91070.0512,2042.4551,91040.0000,95648.3200,92448.0000,89760.0000
17,97288.8000,2827.3405,97216.0000,104240.6400,99156.0000,95312.0000
18,99650.2176,2911.3618,99600.0000,106448.4800,101684.0000,97584.0000
19,107540.2016,2415.3275,107552.0000,113360.3200,109104.0000,106000.0000
20,109970.5376,2424.3608,109920.0000,115664.3200,111568.0000,108412.0000
21,114011.5008,2726.9228,113888.0000,120608.1600,115872.0000,112144.0000
22,116331.7088,2745.5681,116264.0000,122848.0000,118208.0000,114460.0000
23,117003.3024,2271.8953,117008.0000,122272.1600,118544.0000,115488.0000
24,119182.4992,2260.0559,119200.0000,124320.1600,120768.0000,117712.0000
25,126509.4304,3212.3623,126384.0000,133984.0000,128736.0000,124224.0000
26,128758.4576,3229.9943,128736.0000,136128.1600,130992.0000,126432.0000
27,131475.2704,3668.7090,131264.0000,140528.3200,133924.0000,128768.0000
28,134950.4352,4293.4534,134520.0000,146337.1200,137632.0000,131744.0000
