work_dims,mean_t,std_t,med_t,99_t,75_t,25_t
1,13842.8832,1038.2361,14208.0000,14640.0000,14304.0000,14000.0000
2,20500.7936,1122.6945,20704.0000,21824.0000,20832.0000,20544.0000
3,21272.0512,1003.5440,21616.0000,21824.0000,21664.0000,21552.0000
4,21318.6144,1036.7669,21648.0000,21936.0000,21760.0000,21600.0000
5,24774.0192,1113.1448,25344.0000,25616.0000,25392.0000,24528.0000
6,30149.2672,1128.9405,30768.0000,31200.0000,30864.0000,29824.0000
7,31501.3952,1145.6369,32096.0000,32624.1600,32176.0000,31200.0000
8,31879.0240,1043.2631,32176.0000,32768.0000,32336.0000,32096.0000
9,35512.9856,1125.2857,36032.0000,36736.0000,36160.0000,35184.0000
10,36873.5584,1396.4517,37152.0000,39360.1600,37824.0000,36208.0000
11,41775.3312,1373.5212,42000.0000,44224.1600,42656.0000,41200.0000
12,43272.4128,1516.6230,43408.0000,46368.0000,44272.0000,42496.0000
13,45139.8816,1401.7216,45296.0000,47984.0000,46032.0000,44544.0000
14,46472.4768,1470.2255,46656.0000,49376.0000,47408.0000,45760.0000
15,46863.1520,1352.0293,47056.0000,49424.0000,47696.0000,46368.0000
16,48076.3392,1373.4146,48240.0000,50656.0000,48960.0000,47536.0000
17,52075.7536,1758.9899,52176.0000,55872.0000,53248.0000,51024.0000
18,53252.1312,1800.8887,53376.0000,56976.0000,54512.0000,52128.0000
19,57464.3392,1559.8276,57568.0000,60896.1600,58464.0000,56656.0000
20,58663.0784,1565.3177,58752.0000,61936.1600,59680.0000,57872.0000
21,60712.3648,1652.2352,60800.0000,64288.1600,61796.0000,59776.0000
22,61882.6720,1660.4244,61968.0000,65328.0000,63008.0000,60944.0000
23,62223.7920,1466.1853,62392.0000,65136.0000,63184.0000,61504.0000
24,63297.0496,1469.7802,63456.0000,66064.0000,64288.0000,62592.0000
25,67980.8704,1971.1680,68064.0000,72048.1600,69360.0000,66720.0000
26,69079.3024,1974.2360,69216.0000,73184.0000,70432.0000,67840.0000
27,70407.8240,2171.2332,70440.0000,75184.3200,71904.0000,68960.0000
28,72024.2624,2505.3741,71904.0000,78304.1600,73632.0000,70256.0000
