work_dims,mean_t,std_t,med_t,99_t,75_t,25_t
1,7416.2448,356.3817,7472.0000,8208.1600,7664.0000,7232.0000
2,19929.7424,353.3224,20016.0000,20688.1600,20160.0000,19744.0000
3,32432.5744,351.3707,32480.0000,33152.1600,32672.0000,32256.0000
4,44993.7168,364.0220,45056.0000,45760.1600,45264.0000,44832.0000
5,57450.0256,336.8137,57504.0000,58144.1600,57680.0000,57280.0000
6,69982.3840,351.2134,70048.0000,70704.0000,70240.0000,69824.0000
7,82516.9792,357.2571,82608.0000,83248.0000,82736.0000,82320.0000
8,95048.0480,353.2380,95104.0000,95744.0000,95296.0000,94864.0000
9,108544.5472,330.9098,108592.0000,109232.0000,108752.0000,108368.0000
10,115022.8688,327.4056,115072.0000,115696.0000,115248.0000,114848.0000
11,128493.3104,322.6648,128544.0000,129136.0000,128704.0000,128336.0000
12,134995.5088,323.7892,135040.0000,135648.0000,135200.0000,134832.0000
13,148473.2048,329.4075,148544.0000,149168.0000,148688.0000,148320.0000
14,154954.9424,330.7665,155024.0000,155648.0000,155168.0000,154800.0000
15,168449.7296,333.8346,168512.0000,169152.0000,168688.0000,168288.0000
16,174951.3648,335.6446,175008.0000,175648.1600,175184.0000,174784.0000
17,188443.6336,353.4878,188512.0000,189200.0000,188656.0000,188240.0000
18,194925.1136,348.5174,194992.0000,195616.0000,195136.0000,194736.0000
19,208365.4368,335.6630,208400.0000,209104.0000,208576.0000,208176.0000
20,214860.0256,335.3889,214928.0000,215600.0000,215056.0000,214688.0000
21,228329.1376,338.4248,228416.0000,229072.0000,228544.0000,228160.0000
22,234839.8272,347.6128,234912.0000,235568.0000,235072.0000,234672.0000
23,248328.6096,353.7480,248384.0000,249104.1600,248576.0000,248160.0000
24,254830.4272,348.0255,254896.0000,255552.0000,255072.0000,254656.0000
25,269835.1376,333.9373,269872.0000,270544.0000,270048.0000,269664.0000
26,276353.9376,358.2335,276432.0000,277088.1600,276560.0000,276144.0000
27,282856.8112,352.5850,282944.0000,283536.1600,283104.0000,282672.0000
28,289341.0592,336.3972,289408.0000,290048.0000,289552.0000,289184.0000
